ID,user_create_date,user_birth_date,user_gender,user_interested_in,education,schools,jobs,instagram,spotify,city,country,filter_min_age,filter_max_age
00b74e27ad1cbb2ded8e907fcc49eaaf,2016-01-01T09:30:07Z,1976-01-01T00:00:00Z,M,F,Has high school and/or college education,[],[],FALSE,FALSE,Trondheim,Norway,21,35
024610702baf540af5637873cd1534e9,2016-07-12T02:26:46Z,1997-07-04T00:00:00Z,M,F,Has high school and/or college education,[],[],FALSE,FALSE,Richmond,VA,18,29
0a5e3dd8489fe67485ddb7d6adb26ebd,2019-07-01T19:17:54Z,1998-02-06T00:00:00Z,M,F,Has no high school or college education,[],[],FALSE,FALSE,NA,NA,20,24
048dd37565ad9cbc24c163ffedffbf58,2019-09-25T03:28:20Z,1998-02-24T00:00:00Z,M,F,Has no high school or college education,[],[],FALSE,FALSE,Edmonton,Alberta,20,25
0eb998fdde77f9c123c07eace18a5cc1,2017-11-17T23:30:37Z,1996-11-10T00:00:00Z,M,F,Has no high school or college education,"[{""displayed"":true,""name"":""Humboldt-Universität zu Berlin""}]","[{""companyDisplayed"":false,""titleDisplayed"":true,""title"":""Research Assistant""}]",TRUE,FALSE,NA,NA,18,27
10a8c197447a3991d64136b315d6e87e,2014-03-06T04:38:38Z,1994-04-16T00:00:00Z,M,F,Has high school and/or college education,"[{""displayed"":true,""id"":""112432842116375"",""name"":""ITESM Campus Santa Fe"",""type"":""College""},{""displayed"":true,""id"":""103418533031555"",""name"":""Tecnológico de Monterrey, Campus Santa Fe"",""type"":""College"",""year"":""2017""}]","[{""companyDisplayed"":true,""titleDisplayed"":false,""title"":false}]",FALSE,FALSE,Ciudad de México,CDMX,30,50
1a6bc90a124bed79741b441929c4d365,2016-01-01T09:30:07Z,1976-01-01T00:00:00Z,F,M,Has high school and/or college education,"[{""displayed"":false,""name"":""Stanford""}]","[{""companyDisplayed"":false,""titleDisplayed"":false,""title"":false}]",FALSE,FALSE,Boston,USA,21,35
1c2f3d5f9d2ca312136fdf6e018a177d,2019-10-06T07:28:31Z,1994-02-08T00:00:00Z,M,F,Has no high school or college education,"[{""displayed"":true,""name"":""Universität St. Gallen""}]",[],FALSE,FALSE,NA,NA,18,35
1e74b4cb4b126a8f34b2d9b1fda0a92f,2014-02-08T19:46:26Z,1992-12-23T00:00:00Z,F,M,Has high school and/or college education,[],[],FALSE,TRUE,NA,NA,18,1000
2057ea510896a025db5790675c90b7d6,2015-11-15T10:26:16Z,1995-11-27T00:00:00Z,M,M,Has high school and/or college education,[],[],TRUE,TRUE,NA,NA,23,40
